id,short_code,reference_number,transaction_data,expires_at,used,created_at
22,62LM37,NUTE-20251120-4746,"{""items"":[{""price"":""70.00"",""quantity"":1,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""40.00"",""quantity"":1,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""35.00"",""quantity"":1,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""62LM37"",""total_amount"":""145.00"",""total_points"":14.5,""reference_number"":""NUTE-20251120-4746"",""transaction_date"":""2025-11-20T11:26:44.057Z"",""transaction_type"":""Purchase""}",2025-11-20T11:36:44.156+00:00,false,2025-11-20T11:26:43.761171+00:00
23,WKHA8C,NUTE-20251120-1166,"{""items"":[{""price"":""50.00"",""quantity"":1,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""35.00"",""quantity"":1,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""WKHA8C"",""total_amount"":""85.00"",""total_points"":8.5,""reference_number"":""NUTE-20251120-1166"",""transaction_date"":""2025-11-20T11:42:25.043Z"",""transaction_type"":""Purchase""}",2025-11-20T11:52:25.166+00:00,false,2025-11-20T11:42:24.73959+00:00
24,Q979V0,NUTE-20251120-6604,"{""items"":[{""price"":""45.00"",""quantity"":1,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""30.00"",""quantity"":1,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""60.00"",""quantity"":1,""product_id"":15,""product_name"":""Sushi (6 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""Q979V0"",""total_amount"":""135.00"",""total_points"":13.5,""reference_number"":""NUTE-20251120-6604"",""transaction_date"":""2025-11-20T11:46:25.418Z"",""transaction_type"":""Purchase""}",2025-11-20T11:56:25.544+00:00,false,2025-11-20T11:46:25.154533+00:00
25,AZTTUG,NUTE-20251120-2560,"{""items"":[{""price"":""40.00"",""quantity"":1,""product_id"":24,""product_name"":""Milo Dinosour (16 oz)""},{""price"":""30.00"",""quantity"":1,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""}],""store_id"":2,""vendor_id"":9,""short_code"":""AZTTUG"",""total_amount"":""70.00"",""total_points"":7,""reference_number"":""NUTE-20251120-2560"",""transaction_date"":""2025-11-20T14:38:28.274Z"",""transaction_type"":""Purchase""}",2025-11-20T14:48:28.379+00:00,false,2025-11-20T14:38:28.935+00:00
26,8DB1PK,NUTE-20251120-5863,"{""items"":[{""price"":""50.00"",""quantity"":2,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""8DB1PK"",""total_amount"":""100.00"",""total_points"":10,""reference_number"":""NUTE-20251120-5863"",""transaction_date"":""2025-11-20T19:32:38.779Z"",""transaction_type"":""Purchase""}",2025-11-20T19:42:38.946+00:00,false,2025-11-20T19:32:38.809762+00:00
27,UQQ33B,NUTE-20251121-8762,"{""items"":[{""price"":""70.00"",""quantity"":1,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""40.00"",""quantity"":1,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""}],""store_id"":2,""vendor_id"":9,""short_code"":""UQQ33B"",""total_amount"":""110.00"",""total_points"":11,""reference_number"":""NUTE-20251121-8762"",""transaction_date"":""2025-11-21T06:01:07.288Z"",""transaction_type"":""Purchase""}",2025-11-21T06:11:07.394+00:00,false,2025-11-21T06:01:07.383033+00:00
28,678R8M,NUTE-20251121-2457,"{""items"":[{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""678R8M"",""total_amount"":""70.00"",""total_points"":7,""reference_number"":""NUTE-20251121-2457"",""transaction_date"":""2025-11-21T09:01:14.936Z"",""transaction_type"":""Purchase""}",2025-11-21T09:11:15.042+00:00,true,2025-11-21T09:01:15.238546+00:00
29,RYOGSI,NUTE-20251121-9430,"{""items"":[{""price"":""50.00"",""quantity"":1,""is_reward"":false,""product_id"":25,""product_name"":""Milo Dinosour (22 oz)""},{""price"":""50.00"",""quantity"":1,""is_reward"":false,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""60.00"",""quantity"":1,""is_reward"":false,""product_id"":15,""product_name"":""Sushi (6 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""RYOGSI"",""total_amount"":""160.00"",""total_points"":16,""reference_number"":""NUTE-20251121-9430"",""transaction_date"":""2025-11-21T09:33:45.263Z"",""transaction_type"":""Purchase""}",2025-11-21T09:43:45.372+00:00,true,2025-11-21T09:33:45.639787+00:00
30,UCAFM0,NUTE-20251121-3852,"{""items"":[{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""70.00"",""quantity"":1,""is_reward"":false,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""}],""store_id"":2,""reward_id"":null,""vendor_id"":9,""short_code"":""UCAFM0"",""total_amount"":""140.00"",""total_points"":14,""reference_number"":""NUTE-20251121-3852"",""transaction_date"":""2025-11-21T09:45:21.358Z"",""transaction_type"":""Purchase""}",2025-11-21T09:55:21.46+00:00,true,2025-11-21T09:45:21.695561+00:00
31,9UBRTY,SUPR-20251121-9941,"{""items"":[{""price"":""100.00"",""quantity"":1,""is_reward"":false,""product_id"":1,""product_name"":""Beef-Bibim""},{""price"":""110.00"",""quantity"":1,""is_reward"":false,""product_id"":4,""product_name"":""BBQ Samgyupsal""}],""store_id"":1,""reward_id"":null,""vendor_id"":7,""short_code"":""9UBRTY"",""total_amount"":""210.00"",""total_points"":21,""reference_number"":""SUPR-20251121-9941"",""transaction_date"":""2025-11-21T10:05:08.195Z"",""transaction_type"":""Purchase""}",2025-11-21T10:15:08.303+00:00,true,2025-11-21T10:05:08.560288+00:00
